,model,design_ix,enzyme,fold-change,nra_sol
211,"3191,42",31,EU_GLUDy,0.011032514638701418,0.10565300677377963
212,"3191,42",31,EU_G6PDH2r,0.06289215970992669,0.10565300677377963
213,"3191,42",32,EU_ASPTA,0.33661090870346305,0.06321052073022933
214,"3191,42",32,EU_GLUDy,0.2539796875687108,0.06321052073022933
215,"3191,42",32,ED_ICDHyr,0.438142407414241,0.06321052073022933
216,"3191,42",33,ED_PYK,0.6628002121134892,0.1922537658628868
217,"3191,42",33,EU_GLUDy,0.33261930549380614,0.1922537658628868
218,"3191,42",33,ED_MDHm,0.6931471805599453,0.1922537658628868
219,"3191,42",34,EU_PPND2,0.6931471805599453,0.15516793514135022
220,"3191,42",34,ED_PYRDC,0.39277302655470375,0.15516793514135022
221,"3191,42",34,ED_PGK,0.6204282813767292,0.15516793514135022
222,"3191,42",35,EU_PPND2,0.31698710563090465,0.05156731249966874
223,"3191,42",35,EU_ASPTA,0.001,0.05156731249966874
224,"3191,42",35,ED_GLNS,0.06703664350783459,0.05156731249966874
225,"3191,42",36,EU_PGL,0.001,0.011661526478003155
226,"3191,42",36,EU_PGCD,0.04234636691748739,0.011661526478003155
227,"3191,42",36,EU_FBA3,0.6931471805599453,0.011661526478003155
228,"3191,42",37,EU_HEX1,0.10487950934659088,0.09902060504222329
229,"3191,42",37,ED_PGK,0.2420131482780064,0.09902060504222329
230,"3191,42",37,EU_FBA3,0.6931471805599453,0.09902060504222329
231,"3191,42",38,EU_GLUDy,0.001,0.022798701547216506
232,"3191,42",38,ED_ICDHyr,0.2956993976537565,0.022798701547216506
233,"3191,42",38,EU_FBA3,0.6931471805599453,0.022798701547216506
234,"3191,60",0,EU_HEX1,0.2131512100452673,0.12865809409242224
235,"3191,60",0,ED_PRPPS,0.34661104087923833,0.12865809409242224
236,"3191,60",0,ED_PYK,0.001,0.12865809409242224
237,"3191,60",1,EU_HEX1,0.001,0.03666859975110244
238,"3191,60",1,ED_PYK,0.5443489121521237,0.03666859975110244
239,"3191,60",1,EU_PRFGS,0.001,0.03666859975110244
240,"3191,60",2,ED_PYK,0.5428207911808842,0.03669957331819264
241,"3191,60",2,ED_ALDD2y,0.001,0.03669957331819264
242,"3191,60",2,ED_PDHm,0.0010000000000001115,0.03669957331819264
243,"3191,60",3,ED_PRPPS,0.001,0.05056369934945563
244,"3191,60",3,ED_PDHm,0.001,0.05056369934945563
245,"3191,60",3,ED_PFK,0.6637054081776527,0.05056369934945563
246,"3191,60",4,ED_PYK,0.5379060691785972,0.06747464902230071
247,"3191,60",4,EU_AKGDbm,0.001,0.06747464902230071
248,"3191,60",4,EU_TAL,0.6931471805599453,0.06747464902230071
249,"3191,60",5,ED_PYK,0.538800767161884,0.06752951654894399
250,"3191,60",5,EU_TAL,0.6931471805599453,0.06752951654894399
251,"3191,60",5,EU_SUCOASm,0.001,0.06752951654894399
252,"3191,60",6,ED_PYK,0.5377860488423232,0.06745996440762629
253,"3191,60",6,EU_TAL,0.6931471805599453,0.06745996440762629
254,"3191,60",6,EU_GCC2cm,0.001,0.06745996440762629
255,"3191,60",7,ED_PYK,0.5374990110999098,0.05228132795617049
256,"3191,60",7,EU_PPND2,0.6749367773442904,0.05228132795617049
257,"3191,60",7,ED_MDH,0.001,0.05228132795617049
258,"3191,60",8,ED_PYK,0.5395884642865587,0.05248952073661445
259,"3191,60",8,EU_SUCOASm,0.00889816899008825,0.05248952073661445
260,"3191,60",8,EU_PPND2,0.6931471805599453,0.05248952073661445
261,"3191,60",9,ED_PYK,0.5414184624207156,0.06815274598783175
262,"3191,60",9,EU_TAL,0.6931471805599453,0.06815274598783175
263,"3191,60",9,ED_NADH2_u6m,0.6931471805599453,0.06815274598783175
264,"3191,60",10,ED_PYK,0.5368819887747146,0.05218752801668583
265,"3191,60",10,EU_AKGDbm,0.001,0.05218752801668583
266,"3191,60",10,EU_PPND2,0.6742217416237699,0.05218752801668583
267,"3191,60",11,ED_PYK,0.5367632084258918,0.0521696557322172
268,"3191,60",11,EU_GCC2cm,0.001,0.0521696557322172
269,"3191,60",11,EU_PPND2,0.6740833560907559,0.0521696557322172
270,"3191,60",12,ED_PYK,0.5371788620154706,0.052232197047064194
271,"3191,60",12,EU_PPND2,0.6745676150116454,0.052232197047064194
272,"3191,60",12,EU_AKGDam,0.001,0.052232197047064194
273,"3191,60",13,EU_DHQTi,0.29715387875877264,0.19926117450140274
274,"3191,60",13,EU_DHQS,0.6931471805599453,0.19926117450140274
275,"3191,60",13,EU_CHORM,0.37927298697399686,0.19926117450140274
276,"3191,60",14,ED_PRPPS,0.3637284201561615,0.1919697044149949
277,"3191,60",14,EU_ICDHxm,0.614764053537101,0.1919697044149949
278,"3191,60",14,EU_PDHm,0.21601451441253444,0.1919697044149949
279,"3191,60",15,ED_PYK,0.6841245065120062,0.18671190328370793
280,"3191,60",15,EU_DHQTi,0.24450374632156438,0.18671190328370793
281,"3191,60",15,EU_ICDHxm,0.649867778108943,0.18671190328370793
282,"3191,60",16,EU_TAL,0.6931471805599453,0.04158414058436483
283,"3191,60",16,ED_CSm,0.001,0.04158414058436483
284,"3191,60",16,ED_SUCD2_u6m,0.479707376929401,0.04158414058436483
285,"3191,60",17,EU_TAL,0.6931471805599453,0.07536410445621741
286,"3191,60",17,ED_PGM,0.001,0.07536410445621741
287,"3191,60",17,ED_PYRDC,0.6785707172338066,0.07536410445621741
288,"3191,60",18,EU_HEX1,0.001,0.0624906032209396
289,"3191,60",18,EU_TAL,0.6931471805599453,0.0624906032209396
290,"3191,60",18,EU_ASPTA,0.45784271856560294,0.0624906032209396
291,"3191,60",19,EU_TAL,0.6931471805599453,0.0625661343533588
292,"3191,60",19,EU_ASPTA,0.45843732233722745,0.0625661343533588
293,"3191,60",19,EU_r_4235,0.001,0.0625661343533588
294,"3191,60",20,EU_TAL,0.6931471805599453,0.0625467108516706
295,"3191,60",20,EU_ASPTA,0.4588102222662752,0.0625467108516706
296,"3191,60",20,EU_PGI,0.001,0.0625467108516706
297,"3191,60",21,EU_DHQS,0.6931471805599453,0.08929004542244456
298,"3191,60",21,EU_CHORM,0.27490263872063825,0.08929004542244456
299,"3191,60",21,ED_PGK,0.001,0.08929004542244456
300,"3191,60",22,EU_DHQS,0.6931471805599453,0.11003644764752023
301,"3191,60",22,EU_CHORM,0.24132577711281686,0.11003644764752023
302,"3191,60",22,ED_PPA,0.14952728004668742,0.11003644764752023
303,"3191,60",23,EU_DHQS,0.6931471805599453,0.11046798525427697
304,"3191,60",23,EU_CHORM,0.24249749010690574,0.11046798525427697
