,reaction,EC,met,KM_min,KM_max,ratio,KM_model_max,KM_model_min,label
146,HEX1,2.7.1.2,atp,0.05,0.05,1.0,20.30891054785786,0.12278530127168263,HEX1_atp
148,NADK,2.7.1.23,atp,0.17,2.3,13.52941176470588,2.580079318682464,0.042570955510471443,NADK_atp
149,NADK,2.7.1.23,nad,0.68,0.68,1.0,66.47766285924516,0.9037021710723075,NADK_nad
151,PYK,2.7.1.40,adp,0.16,0.16,1.0,4.864326130606141,0.025331323649204197,PYK_adp
152,PYK,2.7.1.40,pep,0.021,4.43,210.95238095238093,0.3651927137902377,0.0017695248940778174,PYK_pep
153,NADK,2.7.1.86,atp,0.133,2.1,15.789473684210526,2.580079318682464,0.042570955510471443,NADK_atp
154,NADK,2.7.1.86,nad,1.3,4.5,3.4615384615384612,66.47766285924516,0.9037021710723075,NADK_nad
156,PGK,2.7.2.3,3pg,0.146,2.5,17.123287671232877,25.18466452930576,0.06859576817860955,PGK_3pg
157,PGK,2.7.2.3,adp,0.1,0.5,5.0,1.4380419884499491,0.15551776650297092,PGK_adp
158,PGK,2.7.2.3,atp,0.04,3.45,86.25,13.108183323819906,0.05844245416668205,PGK_atp
159,GK1,2.7.4.8,adp,0.017,0.017,1.0,1.7247121442549416,0.005790182909690359,GK1_adp
160,GK1,2.7.4.8,atp,0.2,0.5,2.5,10.009294465973532,0.041852061493373297,GK1_atp
161,GK1,2.7.4.8,gdp,0.09699999999999999,0.09699999999999999,1.0,0.42552576724771146,0.004958716436118631,GK1_gdp
162,GK1,2.7.4.8,gmp,0.002,1.8,900.0,1.2917485004948113,0.004487155323832233,GK1_gmp
164,FBP,3.1.3.11,fdp,0.001,2.3,2300.0,449.56719905788384,0.20541128952828794,FBP_fdp
165,HISTP,3.1.3.15,hisp,0.11,0.25,2.272727272727273,0.07116751511149827,0.002865488501011882,HISTP_hisp
166,URIH,3.2.2.3,uri,0.86,1.6,1.86046511627907,0.0019047160921589349,7.785827445912384e-06,URIH_uri
169,PYRDC,4.1.1.1,pyr,0.02,31.5,1575.0,186.971021776269,0.05400411424282294,PYRDC_pyr
171,PPCK,4.1.1.49,adp,0.01,2.03,202.99999999999997,22.420913798534826,0.008472839285213613,PPCK_adp
172,PPCK,4.1.1.49,atp,0.016,0.204,12.749999999999998,4.607460034966443,0.013976738775899963,PPCK_atp
173,PPCK,4.1.1.49,oaa,0.013999999999999999,5.2,371.4285714285715,0.0021213873840234413,2.0492227877091853e-05,PPCK_oaa
174,PPCK,4.1.1.49,pep,0.037000000000000005,3.0,81.08108108108107,0.18295096153906018,0.0004175034895920328,PPCK_pep
175,FBA,4.1.2.13,fdp,0.055,0.45,8.181818181818182,41.86827396172714,1.5109472268382673,FBA_fdp
177,GLYOX3,4.2.1.130,mthgxl,1.5,1.5,1.0,39.88377081244617,0.024539355069307343,GLYOX3_mthgxl
178,IGPDH,4.2.1.19,eig3p,0.1,0.54,5.4,2.3264538345222834e-05,3.1555144158736264e-06,IGPDH_eig3p
179,TRPS1,4.2.1.20,3ig3p,0.032,0.5,15.625,0.0010828381094303819,2.6875342900456543e-05,TRPS1_3ig3p
180,TRPS1,4.2.1.20,g3p,1.1,1.1,1.0,3.6443174545262944,0.025265095404808587,TRPS1_g3p
182,CHORS,4.2.3.5,3psme,0.0097,0.0097,1.0,8.782334744611138,0.041201389206691724,CHORS_3psme
183,ADSL2r,4.3.2.2,25aics,0.0437,0.0437,1.0,0.05575494869395841,4.586444927602376e-05,ADSL2r_25aics
186,ADSL2r,4.3.2.2,fum,0.52,0.52,1.0,0.23164729502820303,0.002116396504953131,ADSL2r_fum
188,ADSL1r,4.3.2.2,amp,0.048,0.048,1.0,0.9660549770731133,0.010214088596634438,ADSL1r_amp
189,ADSL1r,4.3.2.2,dcamp,0.012,0.012,1.0,0.6426421915071592,0.0004168270041764325,ADSL1r_dcamp
190,ADSL1r,4.3.2.2,fum,0.52,0.52,1.0,0.5362616455612201,0.0058213123401907214,ADSL1r_fum
191,LGTHL,4.4.1.5,gthrd,0.35,0.35,1.0,0.009011040123194005,1.6402933297950567e-05,LGTHL_gthrd
192,LGTHL,4.4.1.5,mthgxl,0.32,1.03,3.21875,1.6758376332199572,0.029608547509607733,LGTHL_mthgxl
194,TPI,5.3.1.1,dhap,0.6,25.0,41.66666666666667,19.511715424148388,0.4734826609038175,TPI_dhap
195,TPI,5.3.1.1,g3p,0.3,50.0,166.66666666666669,5.87324476023069,0.011512762179728001,TPI_g3p
196,PRAIi,5.3.1.24,pran,0.0032,0.004,1.25,1.0646484580693696,0.020380753100419282,PRAIi_pran
197,RPI,5.3.1.6,r5p,0.74,0.74,1.0,43.825358387353326,0.43764611483018784,RPI_r5p
198,PGI,5.3.1.9,f6p,0.11,0.16699999999999998,1.518181818181818,49.693694861995375,0.014223380969871554,PGI_f6p
